ID,GamePSID,ReleaseYear,Size,is_Digital_game,is_Physical_game
9421,6265,2017.0,9697.28,0,0
9422,10975,2020.0,2498.56,0,0
9423,11229,2020.0,820.0,0,0
9424,6994,2018.0,246.0,0,0
9425,10893,2020.0,3471.36,0,0
9426,9695,2020.0,548.0,0,0
9427,12495,2021.0,0.0,0,0
9428,-1487,0.0,0.0,0,0
9429,10202,2020.0,986.0,0,0
9430,-5355,0.0,0.0,0,0
9431,4391,2016.0,1566.72,0,0
9432,4517,2016.0,1566.72,0,0
9433,11946,2021.0,557.0,0,0
9434,11945,2021.0,557.0,0,0
9435,7491,2018.0,480.0,0,0
9436,6956,2018.0,726.0,0,0
9437,9492,2019.0,655.0,0,0
9438,9622,2020.0,8642.56,0,0
9439,9946,2020.0,7147.52,0,0
9440,-5167,0.0,0.0,0,0
9441,5454,2017.0,522.0,0,0
9442,11701,2021.0,154.0,0,0
9443,11700,2021.0,154.0,0,0
9444,3981,2016.0,163.0,0,0
9445,11232,2020.0,539.0,0,0
9446,11231,2020.0,539.0,0,0
9447,4710,2016.0,4382.72,0,0
9448,11274,2020.0,77.0,0,0
9449,11273,2020.0,77.0,0,0
9450,11275,2020.0,77.0,0,0
9451,-3110,0.0,0.0,0,0
9452,5895,2017.0,394.0,0,0
9453,5343,2017.0,1208.32,0,0
9454,5362,2017.0,1208.32,0,0
9455,5549,2017.0,1208.32,0,0
9456,5439,2017.0,1228.8,0,0
9457,10803,2020.0,3297.28,0,0
9458,8365,2019.0,41041.92,0,0
9459,3181,2015.0,34324.48,0,0
9460,10629,2020.0,3921.92,0,0
9461,10607,2020.0,3942.4,0,0
9462,10628,2020.0,3921.92,0,0
9463,9686,2020.0,3450.88,0,0
9464,9685,2020.0,3450.88,0,0
9465,6643,2018.0,6502.4,0,0
9466,6642,2018.0,6502.4,0,0
9467,-5114,0.0,0.0,0,0
9468,4909,2016.0,3584.0,0,0
9469,7193,2018.0,3205.12,0,0
9470,7248,2018.0,3205.12,0,0
9471,-5442,0.0,0.0,0,0
9472,4797,2016.0,3194.88,0,0
9473,2505,2014.0,15462.4,0,0
9474,2866,2014.0,7823.36,0,0
9475,3325,2015.0,16998.4,0,0
9476,5564,2017.0,11642.88,0,0
9477,7105,2018.0,11407.36,0,0
9478,8437,2019.0,14080.0,0,0
9479,9936,2020.0,17295.36,0,0
9480,11975,2021.0,0.0,0,0
9481,3845,2015.0,8171.52,0,0
9482,4957,2016.0,3481.6,0,0
9483,4953,2016.0,3686.4,0,0
9484,2915,2015.0,2846.72,0,0
9485,9452,2019.0,1812.48,0,0
9486,4569,2016.0,891.0,0,0
9487,9066,2019.0,2007.04,0,0
9488,9067,2019.0,2007.04,0,0
9489,12944,2021.0,0.0,0,0
9490,12945,2021.0,0.0,0,0
9491,2540,2014.0,302.0,0,0
9492,8176,2019.0,1218.56,0,0
9493,10108,2020.0,661.0,0,0
9494,9243,2019.0,711.0,0,0
9495,-5226,0.0,0.0,0,0
9496,13930,2021.0,0.0,0,0
9497,5340,2017.0,142.0,0,0
9498,9870,2020.0,2600.96,0,0
9499,3352,2015.0,1024.0,0,0
9500,5659,2017.0,4188.16,0,0
9501,7227,2018.0,804.0,0,0
9502,6492,2018.0,2109.44,0,0
9503,7844,2018.0,2129.92,0,0
9504,6530,2018.0,2109.44,0,0
9505,7845,2018.0,2129.92,0,0
9506,9375,2019.0,2129.92,0,0
9507,11915,2021.0,2672.64,0,0
9508,13548,2021.0,0.0,0,0
9509,13549,2021.0,0.0,0,0
9510,13825,2021.0,0.0,0,0
9511,13826,2021.0,0.0,0,0
9512,13599,2021.0,0.0,0,0
9513,12986,2021.0,0.0,0,0
9514,2472,2014.0,9349.12,0,0
9515,10407,2020.0,315.0,0,0
9516,10386,2020.0,539.0,0,0
9517,9606,2020.0,475.0,0,0
9518,9605,2020.0,475.0,0,0
9519,7143,2018.0,792.0,0,0
9520,6285,2017.0,701.0,0,0
9521,6011,2017.0,2713.6,0,0
9522,6465,2018.0,3164.16,0,0
9523,2193,2013.0,69.0,0,0
9524,4428,2016.0,100.0,0,0
9525,7819,2018.0,5376.0,0,0
9526,9380,2019.0,5376.0,0,0
9527,8903,2019.0,2068.48,0,0
9528,8874,2019.0,2068.48,0,0
9529,5176,2017.0,4075.52,0,0
9530,9808,2020.0,5683.2,0,0
9531,9809,2020.0,5683.2,0,0
9532,6724,2018.0,13496.32,0,0
9533,-5395,0.0,0.0,0,0
9534,3692,2015.0,8396.8,0,0
9535,2975,2015.0,10803.2,0,0
9536,8715,2019.0,12523.52,0,0
9537,11386,2020.0,15370.24,0,0
9538,14017,0.0,0.0,0,0
9539,7178,2018.0,12318.72,0,0
9540,2746,2014.0,11796.48,0,0
9541,4537,2017.0,12339.2,0,0
9542,4114,2016.0,17817.6,0,0
9543,5509,2017.0,12492.8,0,0
9544,11280,2020.0,2242.56,0,0
9545,11281,2020.0,2242.56,0,0
9546,11425,2020.0,3194.88,0,0
9547,8434,2019.0,397.0,0,0
9548,8378,2019.0,407.0,0,0
9549,7565,2018.0,1136.64,0,0
9550,12461,2021.0,0.0,0,0
9551,12460,2021.0,0.0,0,0
9552,-2664,0.0,0.0,0,0
9553,9995,2020.0,3983.36,0,0
9554,13823,2021.0,0.0,0,0
9555,7415,2018.0,3840.0,0,0
9556,9868,2020.0,8837.12,0,0
9557,11431,2020.0,750.0,0,0
9558,11432,2020.0,750.0,0,0
9559,11935,2021.0,751.0,0,0
9560,7696,2018.0,2887.68,0,0
9561,7640,2018.0,8949.76,0,0
9562,11957,2021.0,5928.96,0,0
9563,4806,2016.0,80.0,0,0
9564,11227,2020.0,352.0,0,0
9565,4229,2016.0,473.0,0,0
9566,7788,2018.0,692.0,0,0
9567,7109,2018.0,693.0,0,0
9568,10892,2020.0,1679.36,0,0
9569,10891,2020.0,1679.36,0,0
9570,14001,2021.0,0.0,0,0
9571,8353,2019.0,2334.72,0,0
9572,-4520,0.0,0.0,0,0
9573,11075,2020.0,1955.84,0,0
9574,10702,2020.0,1280.0,0,0
9575,11278,2021.0,1822.72,0,0
9576,11241,2021.0,749.0,0,0
9577,10961,2020.0,765.0,0,0
9578,-5388,0.0,0.0,0,0
9579,13946,2021.0,0.0,0,0
